category,sub_category,brand,model,material,color,quality,flag,pop1,pop2,time_online,sold,price
2.0,26.0,512.0,,66.0,1.0,1.0,0,6,57,20,1,932.64
4.0,0.0,899.0,,24.0,12.0,1.0,0,2,19,452,0,560.84
4.0,0.0,950.0,,55.0,1.0,2.0,0,12,32,403,0,1790.64
4.0,39.0,1000.0,,24.0,6.0,2.0,0,4,31,139,1,1333.04
2.0,52.0,86.0,,47.0,4.0,1.0,0,1,37,21,1,1153.64
1.0,8.0,530.0,,24.0,3.0,2.0,0,2,29,6,1,1780.78
2.0,52.0,633.0,,24.0,3.0,2.0,1,29,235,445,0,2791.64
2.0,56.0,291.0,,12.0,4.0,2.0,0,2,25,427,0,1690.54
2.0,52.0,666.0,,8.0,24.0,2.0,0,0,3,0,1,1147.14
4.0,20.0,112.0,,24.0,24.0,2.0,1,16,108,3,1,5151.14
0.0,40.0,715.0,,47.0,15.0,2.0,0,3,21,459,0,1075.64
2.0,9.0,1059.0,,66.0,20.0,2.0,0,10,121,71,1,6438.14
2.0,21.0,683.0,,24.0,3.0,2.0,0,6,73,526,0,2863.14
0.0,18.0,16.0,,66.0,12.0,2.0,0,4,61,1,1,1470.66
2.0,52.0,330.0,,60.0,3.0,2.0,0,6,59,48,1,1433.14
2.0,42.0,541.0,,8.0,12.0,2.0,0,17,185,178,1,613.17
1.0,17.0,498.0,39.0,24.0,3.0,2.0,0,10,189,1,1,5008.14
4.0,14.0,993.0,,24.0,3.0,2.0,0,15,48,542,0,2380.06
4.0,6.0,784.0,,24.0,4.0,1.0,0,2,28,2,1,1147.14
2.0,26.0,943.0,,66.0,16.0,1.0,0,4,31,176,1,1504.64
1.0,17.0,1000.0,,59.0,1.0,2.0,0,6,66,497,0,11443.14
2.0,26.0,541.0,,8.0,4.0,2.0,0,1,18,0,1,2026.97
4.0,13.0,99.0,,55.0,4.0,2.0,0,26,119,688,0,4177.95
3.0,7.0,841.0,,63.0,21.0,2.0,0,4,121,1,1,3578.14
2.0,21.0,1082.0,,66.0,3.0,2.0,0,12,100,113,1,1933.64
4.0,39.0,754.0,,24.0,13.0,2.0,0,7,81,76,1,2263.41
2.0,9.0,798.0,,66.0,20.0,1.0,0,4,30,205,1,1349.56
2.0,45.0,787.0,,8.0,4.0,2.0,0,3,15,675,0,861.14
4.0,20.0,907.0,,33.0,3.0,2.0,0,3,26,418,0,1290.14
2.0,22.0,16.0,,9.0,12.0,2.0,0,1,10,9,1,789.64
2.0,11.0,313.0,,39.0,3.0,2.0,0,8,72,502,0,2005.14
2.0,49.0,332.0,,56.0,3.0,2.0,0,14,307,30,1,2148.14
2.0,50.0,525.0,,8.0,3.0,2.0,0,11,93,412,1,689.54
2.0,26.0,466.0,,66.0,3.0,2.0,0,1,16,384,0,1290.14
2.0,50.0,63.0,,8.0,1.0,2.0,0,19,162,403,1,389.24
2.0,45.0,799.0,,39.0,25.0,2.0,1,16,103,13,1,8440.14
4.0,0.0,666.0,,24.0,3.0,2.0,0,16,78,29,1,2583.49
2.0,26.0,428.0,,24.0,3.0,2.0,0,8,65,146,1,1457.75
4.0,20.0,934.0,,24.0,10.0,1.0,0,3,89,49,1,1390.24
4.0,53.0,465.0,27.0,55.0,3.0,1.0,0,5,73,3,1,1438.19
4.0,39.0,666.0,,24.0,13.0,1.0,0,8,81,15,1,1829.03
2.0,52.0,541.0,,8.0,21.0,2.0,0,3,17,11,1,417.84
2.0,11.0,465.0,,8.0,3.0,2.0,0,2,24,4,1,989.84
0.0,40.0,16.0,,66.0,4.0,2.0,0,8,157,82,1,1333.04
2.0,9.0,943.0,,66.0,16.0,2.0,0,4,40,9,1,6452.44
2.0,27.0,796.0,,8.0,3.0,2.0,0,17,249,602,0,7868.14
2.0,22.0,291.0,,8.0,4.0,2.0,0,2,23,3,1,1019.31
2.0,27.0,279.0,,8.0,3.0,1.0,0,5,280,280,1,360.64
1.0,17.0,49.0,67.0,55.0,12.0,1.0,0,6,45,21,1,4150.14
1.0,17.0,498.0,208.0,24.0,21.0,1.0,0,8,191,116,1,2291.14
2.0,9.0,466.0,,8.0,13.0,2.0,0,19,276,137,1,3077.64
2.0,25.0,332.0,,8.0,20.0,2.0,0,5,115,318,1,789.64
2.0,26.0,499.0,,8.0,16.0,2.0,0,8,81,125,1,2577.14
2.0,11.0,705.0,,61.0,18.0,1.0,0,5,96,425,0,2148.14
2.0,11.0,1059.0,,61.0,3.0,2.0,0,19,91,392,0,4261.26
2.0,50.0,796.0,,8.0,24.0,0.0,0,2,58,10,1,932.64
2.0,55.0,499.0,,8.0,11.0,2.0,0,8,90,39,1,2577.14
1.0,17.0,644.0,,19.0,3.0,2.0,0,8,64,616,0,2148.14
4.0,53.0,814.0,,39.0,12.0,2.0,0,5,74,274,1,1561.84
1.0,17.0,498.0,95.0,62.0,21.0,2.0,0,14,184,29,1,6223.64
1.0,17.0,817.0,155.0,33.0,1.0,1.0,0,10,99,70,1,7111.36
2.0,26.0,466.0,,66.0,13.0,1.0,0,5,32,489,0,1719.14
2.0,25.0,685.0,,56.0,11.0,2.0,0,0,32,0,1,1719.14
2.0,9.0,666.0,,46.0,1.0,2.0,0,9,171,5,1,7439.14
2.0,52.0,794.0,,61.0,3.0,2.0,0,3,13,374,0,3561.96
2.0,45.0,466.0,,61.0,3.0,2.0,0,2,32,632,1,1004.14
4.0,0.0,895.0,,24.0,16.0,1.0,0,1,36,4,1,2648.64
2.0,11.0,705.0,,61.0,15.0,1.0,0,6,44,28,1,1576.14
1.0,17.0,644.0,,24.0,11.0,2.0,0,39,254,148,1,2577.14
4.0,39.0,1000.0,,24.0,18.0,2.0,0,2,35,10,1,1004.14
2.0,45.0,465.0,,8.0,9.0,2.0,0,10,62,422,0,2148.14
1.0,17.0,1000.0,,24.0,3.0,2.0,0,4,49,68,1,2577.14
4.0,20.0,878.0,,24.0,3.0,1.0,0,2,22,136,1,2005.14
4.0,53.0,173.0,,55.0,6.0,1.0,0,9,82,18,1,3864.14
0.0,18.0,634.0,,66.0,0.0,2.0,0,9,67,6,1,3649.64
2.0,26.0,16.0,,66.0,18.0,2.0,0,5,87,35,1,3171.43
2.0,52.0,289.0,,8.0,17.0,2.0,0,0,7,17,1,846.84
2.0,11.0,1049.0,,61.0,3.0,2.0,0,3,43,86,1,2291.14
1.0,17.0,498.0,207.0,40.0,18.0,2.0,0,23,176,288,1,4293.14
4.0,53.0,685.0,,24.0,19.0,2.0,0,10,47,412,0,3592.44
1.0,17.0,931.0,,24.0,19.0,2.0,0,5,33,602,0,2434.14
2.0,50.0,646.0,,8.0,3.0,2.0,0,2,42,7,1,1147.14
4.0,6.0,633.0,,24.0,24.0,2.0,1,43,313,22,1,6152.14
2.0,52.0,499.0,,61.0,11.0,2.0,0,20,77,20,1,1957.36
4.0,0.0,465.0,,55.0,13.0,2.0,0,3,26,2,1,2577.14
1.0,17.0,644.0,,24.0,19.0,1.0,0,9,113,415,0,3292.14
2.0,11.0,156.0,,39.0,3.0,2.0,0,15,48,400,0,4722.14
4.0,53.0,465.0,38.0,55.0,13.0,1.0,0,3,48,46,1,2148.14
2.0,49.0,943.0,,27.0,7.0,2.0,1,35,286,55,1,1504.64
3.0,12.0,947.0,,36.0,10.0,2.0,0,8,101,0,1,4293.14
4.0,20.0,571.0,,33.0,19.0,2.0,0,2,9,689,0,4007.14
2.0,52.0,842.0,,8.0,24.0,2.0,0,6,17,85,1,1218.64
4.0,39.0,903.0,,55.0,21.0,2.0,0,3,20,375,0,1433.14
2.0,22.0,796.0,,32.0,12.0,2.0,0,1,56,61,1,1158.22
2.0,26.0,378.0,,39.0,11.0,2.0,0,3,6,644,0,975.54
2.0,11.0,813.0,,61.0,15.0,2.0,0,16,121,17,1,4741.49
1.0,17.0,16.0,,24.0,3.0,1.0,0,7,106,11,1,3131.28
3.0,38.0,405.0,142.0,67.0,10.0,2.0,0,12,271,90,1,1733.44
0.0,5.0,784.0,,24.0,15.0,2.0,0,11,47,482,0,1334.43
2.0,52.0,466.0,,25.0,15.0,2.0,0,3,25,3,1,789.64
1.0,17.0,196.0,,7.0,3.0,2.0,0,4,27,577,1,1433.14
2.0,45.0,47.0,,47.0,3.0,2.0,0,5,60,226,1,1808.56
2.0,26.0,499.0,,8.0,24.0,1.0,0,7,33,474,0,1433.14
2.0,42.0,291.0,,12.0,4.0,1.0,0,11,124,14,1,1862.14
3.0,31.0,465.0,,28.0,10.0,1.0,0,7,81,241,1,689.54
2.0,52.0,932.0,,66.0,3.0,2.0,0,0,8,370,0,1339.68
1.0,17.0,498.0,39.0,55.0,17.0,1.0,0,6,240,3,1,3006.14
4.0,14.0,931.0,,24.0,22.0,2.0,0,2,25,30,1,2291.14
4.0,32.0,907.0,,24.0,24.0,2.0,0,2,37,6,1,1933.64
2.0,56.0,289.0,,8.0,4.0,2.0,0,5,45,418,0,1517.35
2.0,50.0,289.0,,8.0,18.0,2.0,0,18,102,650,0,1790.64
4.0,53.0,541.0,,24.0,4.0,2.0,0,2,30,40,1,932.64
2.0,52.0,349.0,,8.0,24.0,2.0,0,7,18,416,0,1862.14
2.0,11.0,470.0,,47.0,15.0,2.0,0,1,50,8,1,1711.21
2.0,22.0,466.0,,8.0,18.0,2.0,1,37,125,536,0,2148.14
2.0,21.0,466.0,,66.0,0.0,2.0,0,5,83,51,1,2148.14
2.0,52.0,466.0,,8.0,3.0,2.0,0,6,77,711,0,1075.64
4.0,6.0,1000.0,,24.0,7.0,2.0,0,10,86,467,0,2577.14
2.0,9.0,892.0,,24.0,6.0,2.0,0,2,33,410,0,6438.14
1.0,17.0,498.0,136.0,24.0,11.0,1.0,0,5,122,39,1,3592.44
2.0,11.0,190.0,,32.0,15.0,2.0,1,10,87,1,1,2148.14
2.0,45.0,579.0,,8.0,15.0,2.0,0,5,38,1,1,932.64
2.0,11.0,943.0,,66.0,6.0,2.0,0,15,75,452,0,5008.14
1.0,17.0,720.0,,24.0,11.0,0.0,0,5,107,59,1,1714.54
1.0,17.0,671.0,,24.0,3.0,2.0,0,2,32,40,1,1357.42
2.0,52.0,666.0,,8.0,16.0,1.0,0,4,49,411,0,1576.14
1.0,17.0,633.0,,24.0,20.0,2.0,1,14,119,7,1,3578.14
2.0,52.0,466.0,,47.0,15.0,2.0,0,7,99,15,1,1290.14
2.0,11.0,863.0,,39.0,1.0,2.0,0,6,56,369,0,2404.62
1.0,17.0,720.0,25.0,24.0,12.0,2.0,0,25,390,30,1,7407.52
2.0,56.0,523.0,,8.0,13.0,1.0,0,4,59,101,1,1218.64
2.0,52.0,685.0,,47.0,13.0,2.0,0,2,43,211,1,932.64
2.0,52.0,16.0,,8.0,8.0,2.0,0,5,31,705,1,676.37
2.0,56.0,471.0,,39.0,15.0,2.0,0,4,78,158,1,932.64
2.0,9.0,488.0,,56.0,3.0,2.0,0,7,27,422,0,2791.64
2.0,21.0,718.0,,66.0,18.0,2.0,0,10,131,151,1,6223.64
4.0,0.0,47.0,,24.0,3.0,2.0,0,8,123,33,1,2863.14
2.0,26.0,49.0,,8.0,18.0,1.0,0,3,31,656,0,1504.64
2.0,52.0,2.0,,8.0,12.0,2.0,0,2,12,665,0,1175.74
2.0,26.0,666.0,,66.0,0.0,2.0,0,7,78,475,0,3578.14
2.0,52.0,130.0,,47.0,24.0,2.0,0,2,54,397,0,1004.14
4.0,4.0,741.0,,24.0,15.0,2.0,0,5,45,46,1,1147.14
4.0,53.0,943.0,,7.0,18.0,1.0,0,12,128,14,1,4722.14
2.0,9.0,291.0,,39.0,3.0,1.0,0,7,105,474,0,10299.14
4.0,53.0,362.0,,24.0,12.0,2.0,0,3,38,517,0,1504.64
4.0,14.0,1000.0,,55.0,11.0,2.0,0,3,123,294,1,1862.14
0.0,40.0,341.0,,66.0,18.0,2.0,0,5,151,151,1,2434.14
2.0,11.0,271.0,,47.0,19.0,1.0,0,0,19,0,1,1147.14
4.0,20.0,890.0,,33.0,16.0,2.0,0,6,26,27,1,1290.14
0.0,18.0,720.0,,66.0,16.0,2.0,0,18,49,451,0,1385.88
2.0,45.0,856.0,,9.0,21.0,2.0,0,6,25,233,1,646.64
2.0,45.0,863.0,,24.0,24.0,1.0,0,7,27,351,1,1504.64
2.0,45.0,644.0,,47.0,3.0,2.0,0,12,56,404,1,503.64
2.0,11.0,535.0,,66.0,3.0,1.0,0,1,39,46,1,718.14
2.0,52.0,471.0,,56.0,3.0,2.0,0,8,76,97,1,2791.64
1.0,17.0,1008.0,,24.0,3.0,1.0,0,5,72,94,1,1289.65
2.0,11.0,871.0,,47.0,15.0,2.0,0,8,136,596,0,7194.85
4.0,53.0,47.0,,55.0,21.0,2.0,0,19,294,189,1,2273.5
2.0,9.0,685.0,,66.0,4.0,0.0,0,5,83,232,1,703.84
4.0,6.0,1008.0,,24.0,3.0,2.0,0,13,92,195,1,1441.16
1.0,17.0,720.0,,24.0,7.0,1.0,0,1,51,18,1,1004.14
2.0,42.0,1059.0,,39.0,3.0,2.0,0,6,75,34,1,2219.64
4.0,20.0,204.0,,55.0,3.0,1.0,0,3,39,456,0,3250.63
3.0,12.0,405.0,,67.0,10.0,2.0,0,3,85,2,1,1344.69
4.0,0.0,465.0,59.0,24.0,8.0,1.0,0,11,124,106,1,1969.11
2.0,22.0,291.0,,8.0,4.0,2.0,0,3,88,45,1,861.14
4.0,6.0,622.0,,24.0,3.0,2.0,0,3,110,10,1,5723.14
2.0,21.0,852.0,,24.0,3.0,2.0,0,3,34,5,1,11265.38
2.0,22.0,363.0,,9.0,12.0,2.0,0,1,13,169,1,613.67
2.0,56.0,798.0,,39.0,18.0,2.0,0,0,4,578,0,818.24
3.0,12.0,465.0,,28.0,15.0,2.0,1,75,295,53,1,1547.54
3.0,7.0,276.0,162.0,48.0,22.0,2.0,0,5,65,14,1,1075.64
2.0,26.0,466.0,,8.0,3.0,2.0,0,4,65,1,1,1862.14
4.0,28.0,439.0,,33.0,3.0,2.0,0,4,39,473,0,1104.24
2.0,9.0,685.0,,66.0,18.0,2.0,0,10,76,403,0,5151.14
2.0,21.0,943.0,,56.0,25.0,1.0,0,4,27,273,1,2362.64
2.0,11.0,1082.0,,8.0,3.0,2.0,0,20,204,191,1,3435.14
1.0,17.0,1008.0,,24.0,11.0,2.0,0,20,209,44,1,4061.85
2.0,9.0,685.0,,66.0,1.0,1.0,0,22,303,178,1,1290.14
4.0,53.0,245.0,,24.0,3.0,2.0,0,4,37,462,0,1790.64
2.0,52.0,488.0,,39.0,3.0,2.0,0,3,37,710,0,1147.14
4.0,6.0,907.0,,24.0,6.0,2.0,0,4,26,410,0,1218.64
4.0,20.0,289.0,,24.0,3.0,2.0,0,21,199,666,0,4007.14
2.0,26.0,754.0,,66.0,25.0,2.0,0,12,127,438,0,1533.24
2.0,52.0,331.0,,47.0,15.0,2.0,0,0,26,4,1,1618.54
4.0,6.0,127.0,,24.0,6.0,2.0,0,17,88,458,1,1433.14
2.0,45.0,541.0,,66.0,19.0,2.0,0,5,36,292,1,1147.14
2.0,21.0,787.0,,66.0,3.0,2.0,0,1,35,699,0,1790.64
4.0,53.0,466.0,,24.0,18.0,2.0,0,6,80,8,1,1719.14
2.0,11.0,705.0,,61.0,11.0,2.0,0,1,26,1,1,2720.14
2.0,9.0,510.0,,56.0,12.0,2.0,0,7,23,584,0,3721.14
2.0,52.0,1027.0,,24.0,11.0,2.0,0,3,17,502,0,1439.16
2.0,56.0,633.0,,24.0,3.0,2.0,0,2,27,9,1,2148.14
4.0,39.0,907.0,,24.0,3.0,2.0,0,6,50,460,0,1433.14
4.0,14.0,1000.0,,33.0,15.0,2.0,0,3,35,360,1,2148.14
0.0,15.0,799.0,,56.0,3.0,2.0,0,7,56,20,1,946.94
2.0,11.0,872.0,,66.0,19.0,2.0,0,11,58,190,1,4307.44
2.0,11.0,190.0,,66.0,15.0,2.0,0,8,49,693,0,2362.64
3.0,33.0,229.0,,28.0,10.0,2.0,0,10,72,25,1,2119.54
0.0,48.0,280.0,,28.0,10.0,2.0,0,4,78,8,1,3878.44
4.0,20.0,907.0,,24.0,22.0,1.0,0,4,18,400,0,1647.64
4.0,53.0,439.0,,24.0,3.0,1.0,0,5,40,122,1,1218.64
2.0,45.0,705.0,,61.0,15.0,2.0,0,5,42,67,1,789.64
2.0,21.0,229.0,,8.0,13.0,2.0,1,76,518,124,1,4634.01
2.0,52.0,361.0,,56.0,18.0,2.0,0,1,24,2,1,1018.44
2.0,21.0,715.0,,55.0,4.0,2.0,0,6,28,710,0,3435.14
2.0,11.0,466.0,,8.0,3.0,2.0,0,3,29,524,0,3149.14
2.0,21.0,943.0,,66.0,16.0,2.0,0,0,14,0,1,5001.45
2.0,11.0,905.0,,66.0,16.0,2.0,0,8,77,395,0,1504.64
0.0,40.0,720.0,,66.0,4.0,2.0,0,9,45,83,1,1307.88
2.0,22.0,16.0,167.0,9.0,4.0,2.0,0,7,70,643,0,1418.84
2.0,11.0,943.0,,61.0,11.0,2.0,0,6,46,14,1,4293.14
4.0,0.0,465.0,59.0,55.0,1.0,2.0,0,4,73,0,1,4078.64
2.0,21.0,488.0,,66.0,6.0,0.0,0,10,99,458,0,2239.67
2.0,45.0,633.0,,66.0,3.0,2.0,0,4,35,72,1,575.14
2.0,45.0,488.0,,56.0,21.0,2.0,0,14,133,582,1,1933.64
0.0,37.0,94.0,,24.0,3.0,1.0,0,12,85,405,0,1951.26
2.0,56.0,465.0,,8.0,19.0,2.0,0,8,92,399,1,861.14
4.0,53.0,465.0,27.0,24.0,3.0,2.0,0,7,94,12,1,3077.64
2.0,56.0,419.0,,24.0,17.0,2.0,0,14,138,72,1,1933.64
2.0,22.0,1048.0,,9.0,16.0,2.0,0,5,54,516,0,1426.98
4.0,0.0,235.0,,24.0,3.0,2.0,0,10,24,382,0,2362.64
4.0,0.0,890.0,,24.0,3.0,2.0,0,12,133,100,1,1862.14
2.0,43.0,905.0,,56.0,15.0,2.0,0,10,46,342,1,1004.14
2.0,11.0,530.0,,56.0,3.0,2.0,0,2,21,1,1,5978.07
2.0,50.0,291.0,,8.0,24.0,2.0,0,2,75,18,1,818.24
2.0,21.0,349.0,,8.0,3.0,2.0,0,2,28,444,0,3578.14
3.0,33.0,373.0,,28.0,4.0,2.0,0,0,80,110,1,2032.91
3.0,38.0,891.0,,63.0,24.0,1.0,0,11,81,562,0,15733.14
4.0,20.0,633.0,,24.0,24.0,1.0,0,2,74,507,0,2148.14
3.0,12.0,729.0,,67.0,10.0,2.0,0,0,58,6,1,6432.39
2.0,9.0,541.0,,15.0,25.0,2.0,0,71,398,88,1,2291.14
4.0,4.0,530.0,,24.0,3.0,2.0,0,6,63,5,1,640.67
2.0,52.0,633.0,,24.0,3.0,2.0,0,11,119,82,1,6724.14
1.0,17.0,644.0,,42.0,18.0,2.0,0,17,86,5,1,4150.14
2.0,11.0,336.0,,47.0,19.0,2.0,0,19,151,427,1,2686.69
4.0,6.0,239.0,,24.0,20.0,2.0,0,11,73,447,0,3935.64
